Price,Close,High,Low,Open,Volume
Ticker,^NYA,^NYA,^NYA,^NYA,^NYA
Date,,,,,
2018-01-02,12902.7197265625,12902.7197265625,12842.26953125,12860.9296875,3397430000
2018-01-03,12957.2802734375,12963.3896484375,12906.990234375,12910.6298828125,3544030000
2018-01-04,13028.4599609375,13045.16015625,12999.5302734375,12999.5302734375,3697340000
2018-01-05,13103.23046875,13104.51953125,13039.080078125,13066.3701171875,3239280000
2018-01-08,13114.349609375,13117.240234375,13065.240234375,13096.650390625,3246160000
2018-01-09,13120.83984375,13156.8798828125,13110.900390625,13123.830078125,3467460000
2018-01-10,13106.599609375,13131.1103515625,13070.83984375,13108.23046875,3579900000
2018-01-11,13210.76953125,13210.76953125,13106.599609375,13106.599609375,3645690000
2018-01-12,13294.3203125,13299.1904296875,13237.5498046875,13240.9599609375,3587220000
2018-01-16,13246.8603515625,13371.9697265625,13215.259765625,13343.8203125,4362880000
2018-01-17,13352.3896484375,13376.7998046875,13255.3798828125,13282.48046875,3790340000
2018-01-18,13315.91015625,13353.1396484375,13299.9296875,13341.759765625,3703300000
2018-01-19,13384.4599609375,13384.4599609375,13331.7001953125,13342.9599609375,3724230000
2018-01-22,13470.3701171875,13470.400390625,13381.330078125,13388.3203125,3489480000
2018-01-23,13474.1103515625,13482.419921875,13434.9404296875,13461.8701171875,3541140000
2018-01-24,13507.66015625,13556.3798828125,13452.75,13520.0703125,4079270000
2018-01-25,13512.66015625,13555.509765625,13479.5703125,13548.8701171875,3873100000
2018-01-26,13637.01953125,13637.01953125,13539.2001953125,13547.2802734375,3474680000
2018-01-29,13524.650390625,13605.91015625,13520.6796875,13592.7998046875,3587420000
2018-01-30,13375.509765625,13458.5400390625,13369.419921875,13441.240234375,4012070000
2018-01-31,13367.9599609375,13443.25,13320.3701171875,13416.830078125,4276270000
2018-02-01,13381.9697265625,13414.7802734375,13324.3203125,13338.990234375,3977380000
2018-02-02,13085.349609375,13294.349609375,13075.8798828125,13294.349609375,4340220000
2018-02-05,12572.9296875,13050.16015625,12518.2099609375,12974.1904296875,5310840000
2018-02-06,12745.4501953125,12779.150390625,12337.759765625,12386.83984375,5917350000
2018-02-07,12687.1796875,12866.580078125,12685.4296875,12696.9501953125,4646300000
2018-02-08,12270.650390625,12701.8798828125,12270.650390625,12701.8798828125,5333840000
